#  RA   Dec   redshift   u    g   r   i   z
34.38306067 -7.261356594 0.59 24.8383 23.5967 22.2005 21.3259 20.9018
34.13336382 -7.260975211 0.47 24.8395 22.8922 21.3603 20.6413 20.2991
34.65963244 -7.26020346 0.49 99.0 23.7563 22.2441 21.5371 21.2208
34.61350564 -7.26046681 0.57 25.723 23.658 22.1777 21.2035 20.7215
34.34321287 -7.261156742 0.48 23.7988 22.4043 21.0667 20.3684 19.9899
34.12941811 -7.260718854 0.34 23.5692 22.1396 20.8557 20.3232 20.0762
34.30888326 -7.259169354 0.44 25.8813 23.5667 22.1037 21.3169 20.9774
34.86653161 -7.258326027 0.36 26.4015 24.0624 22.7968 22.2454 21.9297
34.33825423 -7.259320454 0.63 24.5734 23.2341 21.7613 20.7191 20.3758
34.19760374 -7.257296578 0.31 24.7697 23.3061 22.1858 21.6259 21.3916
34.92722021 -7.257140508 0.44 99.0 24.5329 23.2519 22.4702 22.2914
34.74403461 -7.257296209 0.57 25.5795 24.2281 23.1916 22.3337 21.9572
34.68915029 -7.257138067 0.64 25.4563 24.1865 23.0199 21.9636 21.6505
34.16296105 -7.256634713 0.67 26.657 24.3941 22.9075 21.5661 21.0945
34.04751106 -7.25610631 1.44 99.0 25.1386 24.3684 22.3922 21.705
34.18458634 -7.255335856 0.45 25.4294 23.8731 22.5376 21.9185 21.5247
34.38313832 -7.255616821 0.48 24.9976 23.4654 22.0448 21.3387 20.9267
34.94543341 -7.25621781 0.42 25.1835 22.9953 21.5122 20.7308 20.3992
34.30613495 -7.256684697 0.55 99.0 23.9673 22.7513 21.6005 21.2127
34.36766894 -7.255475317 0.54 25.2593 23.9859 22.635 21.8325 21.4831
34.12220273 -7.254491108 0.51 99.0 24.756 23.1354 22.3267 21.8224
34.94065906 -7.253674713 0.37 25.5728 23.9763 22.4496 21.948 21.6969
34.41112266 -7.253743913 0.62 27.2191 24.6477 23.3752 22.1354 21.5652
34.25712577 -7.253054087 0.59 25.325 23.9782 22.6399 21.6363 21.363
34.91942003 -7.252908516 0.56 26.1375 24.6179 23.3518 22.4932 21.9924
34.86874143 -7.252861694 0.82 25.2937 24.6511 23.1824 22.024 21.5877
34.72724256 -7.253678855 0.44 24.6937 22.3282 20.8315 20.1129 19.7906
34.95321131 -7.253493152 0.5 25.1363 22.4109 20.8701 20.1007 19.654
34.67555616 -7.253368867 0.63 23.9899 22.7991 21.4762 20.477 20.1156
34.07184112 -7.251813237 0.79 26.0613 24.4171 22.9685 21.8048 20.9304
34.3604373 -7.251521258 0.52 26.7814 24.2709 22.7592 21.7267 21.3672
34.69819875 -7.25138777 0.51 26.0851 24.0797 23.0346 22.2258 21.6493
34.12730465 -7.250910404 0.42 25.812 24.321 22.8202 22.1554 21.9846
34.73222896 -7.250332187 0.54 27.0162 24.5749 23.1 21.9969 21.631
34.30418525 -7.250585747 0.59 25.8209 23.9177 22.8603 21.679 21.405
34.60882363 -7.249728278 0.18 25.4969 23.9219 22.9604 22.4932 22.4688
34.03136995 -7.249582209 0.61 25.806 24.3389 22.6414 21.7868 21.3018
34.86159406 -7.248915008 1.02 26.3198 25.8107 23.6524 22.3929 21.5561
34.59552975 -7.249872287 0.59 25.4089 23.8891 22.3903 21.4612 20.9839
34.85361158 -7.251310044 0.52 23.2859 22.1252 20.7593 20.065 19.6906
34.9637796 -7.248378948 0.54 26.7309 24.7259 23.2683 22.347 21.8813
